filenameNumber,labile,moleculeID,smiles,maxWidth,maxWidthIntensity,maxWidthShift,labileProtonType,labileProtonNumber,heteroatomsList,rangesPeaksRatio,solvent,solventShift,containsAromaticSystem,singletFit
252,1,ffc`P@L@PFNQQJIQQQISITVoEsUjjB`A`BBCJ@@,N1(C(CC=2(C1=CC=CC=2))C(=O)O)(C(OCC3(=CC=CC=C3))=O),0.013893459920167217,0.3771284296099127,5.236089898497968,["OH"],1,["O"],0.044585987261146494,CDCl3,7.26,1,13.542277549826055
253,1,dg~L@MAAR[e[Uz]Mh@bjH@@,C=12(C(=CC(C(=O)O)=CC=1)OCCN2C),0.004420646338235024,0.12123969044699373,4.220962133138719,["OH"],1,["O"],0.27586206896551724,DMSO,2.5,1,2.2702690589890637
257,1,dg}L`Lgcl@cIEDUDlieRmLtuMH@@,O2(N=C(C=C2(C=1(N=C(SC=1)C)))C(O)=O),0.11964022285612226,0.08403126563079061,3.3484683223692637,["OH"],1,["O"],0.21428571428571427,DMSO,2.5,1,5.97270656948936
259,1,dg~L@KAER[e]exSmh@JZD@@,C1(=CN=CO1)(C2(=CC=C(C(=O)O)C=C2)),0.00505216724369717,0.30171860570481207,7.848256539084319,["OH"],1,["O"],0.3157894736842105,DMSO,2.5,1,8.325928347288192
261,1,dk\DPIT@c`aJYf{R[SjYejd@@,S2(C(=CC=C2(C=1(SC=CC=1)))C(=O)O),0.1066300799660188,0.07395321519447799,3.3621112986627906,["OH"],1,["O"],0.16666666666666666,DMSO,2.5,1,5.092089734267648
262,1,dmuD@FDDrJZJJEaZejh@@,N1(C)(N=C(C)C(=C1(C))C(=O)O),0.005683688149155319,0.06944367063355587,3.4480586406179325,["OH"],1,["O"],0.2,DMSO,2.5,1,0.07297945185888821
267,1,foAA`@@HYdTtTQTRSAV\tuL@D@@@,O1(C(=C(C=C1C2(=CC=CC=C2))C(O)=O)C),0.013893459920157447,0.13654478290832564,3.360821478431757,["OH"],1,["O"],0.3333333333333333,DMSO,2.5,1,1.1293244889167962
269,1,foAP`@FB@cHihhdXdfBlyijX@H@@,N1(C(=C(C=N1)C(O)=O)C)(C=2(C=CC=CC=2)),0.0037891254327728774,0.05000447245756212,7.498204143910965,["OH"],1,["O"],0.23076923076923078,DMSO,2.5,1,6.756266491107685
275,1,foAp`@BLxAFQSQJHqILyYsSSP@P@@,N1(N=C(C(C)=N1)C(O)=O)(C2(=CC=CC=C2)),0.00505216724369717,0.09938470451797504,7.56536788944623,["OH"],1,["O"],0.25,DMSO,2.5,1,3.5576160434159374
288,1,dk]@`Lt@aJYyU\iSidHH`@@,S2(C=C(N=C2(C1(=CC=CC=C1)))CN),0.013261939014700408,0.28680339084705747,1.6497703349858661,["NH2"],2,["N"],0.2222222222222222,CDCl3,7.26,1,2.153684125252327
293,1,dk_@@@`|dTRaRrJiVZ`@i@@,C=2(C=C(CN)C=CC=2(N1(C=CC=N1))),0.02399779440755312,0.1363151375537278,1.4766459482834022,["NH2"],2,["N"],0.2916666666666667,CDCl3,7.26,1,2.535664728125516
294,1,dco@@@c\dTRaRqUJsT@D`@@,C=2(C=C(N)C=CC=2(N1(C=CC=N1))),0.0933819905246142,0.11116358835392527,3.7468782768632756,["NH2"],2,["N"],0.2962962962962963,CDCl3,7.26,1,6.759880739245743
296,1,dg@@@ptiWe]\JUZX@Jh@@,C=2(C=C(CNC)C=CC=2(N1(C=CN=C1))),0.005683688149159316,0.24804309131752167,7.416473609264755,["NH"],1,["N"],0.3181818181818182,CDCl3,7.26,1,11.454585038856772
297,1,dgD@IVpQInUvWaNv`@jT`@,C=2(C=C(C(O)=O)C=CC=2(N1(N=CN=C1))),0.04731976637052389,0.07065124483096837,13.200635899100721,["OH"],1,["O"],0.3181818181818182,DMSO,2.5,1,1.9777568151535112
298,1,dcl`@@bmrQQJEKETkMP@R@@,C=2(C=C(N)C=CC=2(N1(N=CN=C1))),0.022103231691159575,0.23691574087397424,3.8659077373212467,["NH2"],2,["N"],0.3333333333333333,CDCl3,7.26,1,3.1479620612274712
300,1,foAp@@@J\eSJk{|UKUPTDUP@@,N2(C1(=CC=C(C=C1)CN))(CCN(CC2)C),0.018945627163857726,0.08555901001656578,1.3831260613811627,["NH2"],2,["N"],0.30434782608695654,CDCl3,7.26,1,0.9284622262562687
303,1,dg}H@LlDifUWquSh@@@`@@,N2(=C(OC1(=CC=CC=C1))C=CC(=C2)N),0.020840189880250826,0.09394607552927381,4.803498078256398,["NH2"],2,["N"],0.16666666666666666,CDCl3,7.26,1,0.8808532831039921
309,1,daEH@LHDeejZfjP@,N1(C(CO)=NC=C1)(C),0.0037891254327728774,0.494733138507128,4.626565250375977,["OH"],1,["O"],0.5,CDCl3,7.26,1,1.3357254831882983
312,1,dk]D@BDDrJZJJIEatvijiV@@,C=1(N2(C(=NC=1C)C=CC=C2))(C(=O)O),0.003789125432770213,0.22931811953270398,2.5083253330520523,["OH"],1,["O"],0.2857142857142857,DMSO,2.5,1,1.1757729878042606
316,1,dcm@@@WIHhddXwSmPJDP@@,C=2(N1(C=CC=C1))(C=C(N)C=CC=2),0.02399779440754468,0.2735965415206897,3.785704800520021,["NH2"],2,["N"],0.2727272727272727,CDCl3,7.26,1,3.9362330783335224
317,1,dknD`BePqLbbbatrIijZZh@@,N1(C(C)=C(C(C)=C1(C(OCC)=O))Br),0.004420646338231915,0.8712586967240441,2.175362474020675,["NH"],1,["N"],0.3333333333333333,DMSO,2.5,1,11.664620577153926
320,1,dieD@BDDR[fVEjZd@@,N1(C=NC=C1(C(=O)O))(C),0.009472813581932193,0.21879608151248772,7.868454431468452,["OH"],1,["O"],0.4,DMSO,2.5,1,1.6394079279572984
323,1,daG@@@sdiU|Iij`@,N1(C(CN)=CN=C1)(C),0.029681482556710437,0.06776221900853092,1.2511929850334953,["NH2"],2,["N"],1,CDCl3,7.26,1,1.1748585911687968
330,1,dmvBaL[iT@cI{ldTRfLJjeZZ@@,C1(=CC(=CS1)C(O)=O)([N+]([O-])=O),0.004420646338228806,0.05043232125807901,8.187187089722315,["OH"],1,["O"],0.3076923076923077,DMSO,2.5,1,6.866498322890767
333,1,dg}H@JlDiWYeRkSjj@`h@@,C=2(C(N1(CCOCC1))=CC=CC=2)(CN),0.017682585352933877,0.15223448295221334,1.6484196345690456,["NH2"],2,["N"],0.15625,CDCl3,7.26,1,1.8264703332114416
338,1,foAQ`@F\@avQSQQIPiBeYsPDEUD@@,C=1(C(C(=O)O)=CC=CN=1)(N2(CCOCC2)),0.007578250865540426,0.9952224503326003,3.3173276261424234,["OH"],1,["O"],0.24,DMSO,2.5,1,12.150270873664416
339,1,dclD`Et@aJYWvrnF`PIh@@,C=1(C2(=C(C=C(C(O)=O)C=1)C=CS2)),0.015156501731080851,0.399871192063546,3.3557775400227046,["OH"],1,["O"],0.2413793103448276,DMSO,2.5,1,4.0331051531951765
344,1,dcmH@JtLdTRaRqUJuJ@E@@@,C1(=CN=CO1)(C=2(C=CC(=CC=2)N)),0.0037891254327728774,0.5213272570581878,6.705065565295811,["NH2"],2,["N"],0.2,CDCl3,7.26,1,11.64782973478934
345,1,dev@`I@HRfUJxZA@h@@,C=1(C2(=C(C=C(N)C=1)C=CS2)),0.1388894824728665,0.13749189144780025,3.685182912230756,["NH2"],2,["N"],0.13043478260869565,CDCl3,7.26,1,15.348334327506617
350,1,dk]@@@OIHhdd\fzUjAPJ`@@,C=2(N1(C=CC=C1))(C=CC(CN)=CC=2),0.010104334487390787,0.12793991534843455,1.4392367561737218,["NH2"],2,["N"],0.5,CDCl3,7.26,1,0.7851100973675622
351,1,dk\L@@QdfyUUx]Mjj`@Hr`@,C1(C(=O)O)(CC2(=CC=CC=C2(OC1))),0.007578250865540426,0.9951879497305367,2.9620638484806086,["OH"],1,["O"],0.12,DMSO,2.5,1,9.373402397202621
353,1,dcmD@FDDR[fUvE]ZZfV`@,C=2(C=NN1(C=CC=CC1=2))(C(O)=O),0.010104334487387234,0.20033059994754324,3.3663042205385074,["OH"],1,["O"],0.21621621621621623,DMSO,2.5,1,1.3440405488713896
355,1,deVL@BANR[eenZej`@,O1(C(C)=NC(=C1(C))C(O)=O),0.01199889720377234,0.694853032481061,3.2993857990910413,["OH"],1,["O"],0.6,TFA,,1,2.795185469599025
356,1,difD@L@\dTTNrjYj`@,O1(C(C)=NC(=C1(C))CO),0.0069467299600836085,0.4424649231491153,4.468419285244389,["OH"],1,["O"],1,CDCl3,7.26,1,1.5805464168079244
357,1,fhi@`@@HR[e[ZZxKSf`@jjh`@@,C12(=C(C(C)(C)CCC1(C)C)C=CC(=C2)C(=O)O),0.005683688149157318,0.9992376781697129,1.26598786759084,["OH"],1,["O"],0.5555555555555556,DMSO,2.5,1,2.8497978719662207
364,1,foAP`@FB@cHihhdhTfBlyijX@H@@,N1(C(=C(C=N1)C(O)=O)C2(=CC=CC=C2))(C),0.008209771771002128,0.37601908793689576,3.36104553209748,["OH"],1,["O"],0.25,DMSO,2.5,1,1.8279431741824563
366,1,dg~D@EADfyVu~GSZ@@@`@@,C1(=C(N=C2(C=CC(=CC2(=C1))C(O)=O))C),0.006315209054621462,0.1310171698530024,7.97182500309534,["OH"],1,["O"],0.3888888888888889,DMSO,2.5,1,2.428653757939938
375,1,foAQ@@JN@eJzrndihuUT@EP@@,N1(CCOCC1)(CC=2(C=CC(=CC=2)CN)),0.014524980825624256,0.2110374414707145,1.460142825530566,["NH2"],2,["N"],0.2857142857142857,CDCl3,7.26,1,2.052849285425074
382,1,dcmH@NTLdTTTRK]NtEPYDIP@,C1(=CC=C2(NCC(OC2(=C1))C#N)),0.01199889720377234,0.14778842052602356,3.837746046858351,["NH"],1,["N"],0.17777777777777778,CDCl3,7.26,1,0.3202737118957135
398,1,daDH`F@HRf]rjYj@@,C1(=CSC(CO)=C1)(C),0.021471710785712972,0.23817608536380155,4.7232949232627055,["OH"],1,["O"],0.4,CDCl3,7.26,1,1.4847756395339091
399,1,daF@`F@HRf]rjYj@@,S1(C(CN)=CC(C)=C1),0.004420646338235024,0.2365754982317187,6.717864647595784,["NH2"],2,["N"],0.2857142857142857,CDCl3,7.26,1,5.621414438541719
405,1,dk\L`AtpqDfUmviaf@BfX`@,O1(C=2(C=CC(=CC=2(C=C1(C(=O)O)))Br)),0.0056836881491513225,0.30972955143892833,8.02622222566696,["OH"],1,["O"],0.14285714285714285,DMSO,2.5,1,1.9334786263073704
408,1,dmMH@LXDeeUZZUjViZ@@,C1(=CC=CN2(C=C(N=C12)CO)),0.016419543542015802,0.12999116101777608,5.276868605821568,["OH"],1,["O"],0.225,DMSO,2.5,1,1.2910448209025707
417,1,dmMH@JdDee[VzUiiiZ@@,C=1(C(=CN2(C=CN=C2(C=1)))CO),0.009472813581932193,0.30283061119533494,7.371253446995093,["OH"],1,["O"],0.2777777777777778,CDCl3,7.26,1,19.888358418295017
423,1,dg~D@JB|dRVTRTITnuU@AT@@,C=2(C=CC(=CC=2(N1(CCOCC1)))CO),0.01515650173108618,0.17915630168098035,1.8907883499884217,["OH"],1,["O"],0.23076923076923078,CDCl3,7.26,1,1.6107267789756103
424,1,dg}H@JlLdRVTRTITnuU@AT@@,C=2(C=CC(=CC=2(N1(CCOCC1)))CN),0.017051064447471953,0.20612647252171185,1.4799720598137438,["NH2"],2,["N"],0.21739130434782608,CDCl3,7.26,1,2.2419142376125074
425,1,dk]H@JtDiWYVJeNjh@b@@,C=2(C=CC(=CC=2(N1(CCOCC1)))N),0.01768258535292766,0.2591429805353638,3.633921361340761,["NH2"],2,["N"],0.3,CDCl3,7.26,1,3.049496255290712
427,1,foA``@I@PdwJ{J|EYsP@UUD@@,C=1(C=C(C(=O)O)C=CC=1N2(CCCCC2)),0.010104334487387234,0.42636717926347456,3.3118456995552927,["OH"],1,["O"],0.15625,DMSO,2.5,1,4.366905734958087
429,1,fhyP@@@VrRJIIKEISbiZ|FhJBJjb@@,C1(N(CCCC1)C=3(C=CC(CNC2(CC2))=CC=3)),0.010104334487390787,0.18190868147225095,1.338182106738977,["NH"],1,["N"],0.16363636363636364,CDCl3,7.26,1,2.255763811703402
430,1,foA``@A@PdwJwZ|eYsPAEUD@@,C=1(C=CC(=CC=1N2(CCCCC2))C(=O)O),0.019577148069312766,0.6733087297846038,3.3459745912342913,["OH"],1,["O"],0.17073170731707318,DMSO,2.5,1,8.47457685912334
441,1,dcmD@HdNReem\i]iffjP@,C=2(C=C(C1(=CC=CO1))ON=2)(CN),0.011367376298314635,0.22985932142282497,1.550097929533773,["NH2"],2,["N"],0.5384615384615384,CDCl3,7.26,1,1.555757384423964
443,1,foA``@G@PdwJ{J|EYsP@P@@@@,C(C=2(C=CC(C=1(C=CN=CC=1))=CC=2))(=O)O,0.00505216724369717,0.5583058533027817,7.932024121343644,["OH"],1,["O"],0.2,DMSO,2.5,1,13.300519295687096
444,1,foAP@@@VRe]e]RTUh@H@J`@@,N=1(C=CC(=CC=1)C2(=CC=C(C=C2)CNC)),0.005683688149159316,0.161380571784522,7.410349009138299,["NH"],1,["N"],0.3,CDCl3,7.26,1,9.406966701110552
445,1,dg|D`ML@cIEDhXeDUK]Ra@q@@@,C1(=CC=C(C(=C1)C(O)=O)C2(=CC=CS2)),0.10938553712771101,0.09595397038072614,3.411319049714425,["OH"],1,["O"],0.0847457627118644,DMSO,2.5,1,6.553958097326269
447,1,dg~@`C@HrQQJFIHeR{ThDEP@@,C1(=CC=C(C(=C1)CNC)C2(=CC=CS2)),0.0069467299600836085,0.1092945740794354,7.3130531402103784,["NH"],1,["N"],0.14814814814814814,CDCl3,7.26,1,11.38605558056211
449,1,dk]@@@uJUvUbiS@B@H@@@,C2(=CC(C1(=CC=NC=C1))=CC(=C2)N),0.018945627163864387,0.35139039145739204,6.751108550701657,["NH2"],2,["N"],0.1,CDCl3,7.26,1,8.184206757827377
450,1,foAP@@@VrQIYQIPheEZ@B@Bh@@@,C=1(C(=CC=NC=1)C2(=CC(=CC=C2)CNC)),0.0069467299600836085,0.12043113886389244,7.404732687854978,["NH"],1,["N"],0.2857142857142857,CDCl3,7.26,1,13.441908253296539
452,1,dcmH@JDLdTRabqTnuJDA@@@,O1(C=NC=C1C=2(C(=CC=CC=2)N)),0.09077933990029875,0.19999551022932924,4.193302354136288,["NH2"],2,["N"],0.13333333333333333,CDCl3,7.26,1,10.351007598659573
453,1,dg~L@KAER[e[mzSmh@bZD@@,C=2(C=C(C1(=CN=CO1))C=C(C(O)=O)C=2),0.09000775899014091,0.1301869900689998,3.3738053201781217,["OH"],1,["O"],0.1509433962264151,DMSO,2.5,1,7.991844755926127
455,1,foAp@@@J\eSJkw|UKUPTDUP@@,N1(CCN(CC1)C2(=CC(=CC=C2)CN))(C),0.015788022636548105,0.09579781905178275,1.6003789789216412,["NH2"],2,["N"],0.26666666666666666,CDCl3,7.26,1,0.05951164527388436
457,1,dg@@@z|dbbtVRK]NuAPQT@@,C=1(C=CC=2(N(CCN(C=2(C=1))C)C))(CN),0.017682585352933877,0.08556187222935992,1.3982550375632163,["NH2"],2,["N"],0.30434782608695654,CDCl3,7.26,1,1.2141314302968291
462,1,dk^H@NAIYV{VGSh@bjH@@,C2(=CC(=CC(N1(CCCC1))=C2)CO),0.01326193901470507,0.19417470444689333,6.637370331965525,["OH"],1,["O"],0.20588235294117646,CDCl3,7.26,1,23.165954489450726
467,1,foAq@@HDlCIDhcDeBlDUjeh@Jh@@,C1(=NOC(=N1)C)(C2(=CC(=CC=C2)CNC)),0.017051064447471953,0.04612845827754539,1.4424302747612616,["NH"],1,["N"],0.46153846153846156,CDCl3,7.26,1,0.48163304916913335
470,1,dcmD@BXDR[eUVy]ZZZV`@,N=1(N2(C=CC=CC2(=CC=1C(O)=O))),0.00884129267646383,0.1536680106055118,3.3863651663997736,["OH"],1,["O"],0.1346153846153846,DMSO,2.5,1,1.4374183027685314
472,1,dk]@@@uJUnubYS@H@H@@@,C2(=CN=CC(C1(=CC(=CC=C1)N))=C2),0.015788022636542554,0.777357424719578,3.774261882207315,["NH2"],2,["N"],0.1951219512195122,CDCl3,7.26,1,6.960784109380992
475,1,dk]@@@MJUnurY]@H@B@@@,C=1(C=C(C=NC=1)C2(=CC=C(C=C2)N)),0.004420646338235024,0.08487590989269085,7.244230977259212,["NH2"],2,["N"],0.08955223880597014,CDCl3,7.26,1,36.03213495100178
476,1,foA``@J@]dbRrTRTIJZMUU@AT@@@,C=1(C(=CC(=CC=1)CN2(CCOCC2))CO),0.022734752596621277,0.05522387793473897,2.298254646289261,["OH"],1,["O"],0.23076923076923078,CDCl3,7.26,1,0.01642495592079997
480,1,dmNH`FT@aJYW_J[jYfj`@,S1(C=CC=2(N(C(=CC1=2)CO)C)),0.008209771771007901,0.2463705979542874,4.707787345196583,["OH"],1,["O"],0.5,CDCl3,7.26,1,2.115788067312358
483,1,foAP`@CV@aInUnuyJsf`B@@@@@,C=1(C(=CN=CN=1)C2(=CC(=CC=C2)C(=O)O)),0.0063152090546125805,0.11433286749820137,9.174705993765448,["OH"],1,["O"],0.19230769230769232,DMSO,2.5,1,14.823562229852788
485,1,dg}H@MLDee[mVD{h@`@@@@,C=1(C(=CN=CN=1)C2(=CC(=CC=C2)CO)),0.01452498082561915,0.09642520984039046,2.4011925538795182,["OH"],1,["O"],0.3333333333333333,CDCl3,7.26,1,0.05263184478420712
489,1,fhiP`@JA@IJUuVUteKNjjj@Bh@@,C=1(C=CC(=CC=1)CN)(OCCN2(CCOCC2)),0.0069467299600787236,0.6392971075007408,3.732435389316083,["NH2"],2,["N"],0.175,CDCl3,7.26,1,26.30321869568229
490,1,f`qP`@J^@IJUuVUrTlzjjh@J@@@,C=2(C=C(OCCN1(CCOCC1))C=CC=2N),0.02020866897477447,0.26905438464710624,3.4290369960378495,["NH2"],2,["N"],0.26666666666666666,CDCl3,7.26,1,3.35126317147674
