fileNumber,from1,to1,from2,to2
232,2.058276702213814,2.076590808472204,3.1470187432297885,3.582768167998363
234,12.975378594929571,13.37576284899201,3.1198633442949357,3.676864782912157
238,1.5405714604009622,1.65803434881688,,
245,12.06472544925444,13.210935892666622,2.927880989034578,3.7873809413679536
247,10.911358617293844,12.407431642331565,1.010373861464163,2.4748708412301985
250,1.1880408944873029,1.6136859847686398,,
252,8.24465549211929,10.314149499315832,,
253,11.858364614899678,12.71786456723245,3.264628133376735,3.3997736071455398
257,12.847261790135626,15.012115454056818,2.978484600486202,3.869560598092664
259,12.033149403981376,13.943500143001682,2.9916646004862097,4.329225878254326
261,12.701298521959387,14.006652233547808,2.832521332309861,3.7235973299163225
262,11.013874662566906,12.924225401587211,3.160912203149946,3.633921361340761
267,12.25544476270374,13.083368669763448,3.023240645759295,4.010307820995942
269,11.70380134672344,13.200505892666625,2.9812346004862027,4.445731580252203
275,13.01958505831186,14.03822827882087,3.023240645759295,3.5966616279185204
288,1.436860131239301,1.831560697153004,,
293,1.1766735181889882,1.7406216867664863,,
294,3.542982350954276,4.017254550956026,2.802208328847699,2.8527300012846357
296,1.8018792145962927,2.034910428711731,,
297,12.701298521959387,13.592374519565222,3.222169730979731,3.515195431113961
298,3.458358549622408,4.25975857865349,,
300,1.2303527951532518,1.5751632095354624,,
303,4.617830932050527,4.999269558949663,2.6809563149990523,4.04188386626905
309,5.662998030590379,6.499131709422261,,
312,12.314176206911636,13.874664364306405,2.7636855536145357,4.674036292636658
316,1.4217036295082148,1.7639879602685775,3.425519462538399,4.065881660676611
317,11.657394465231928,11.892951762968975,3.2954261560132885,3.390785812738005
320,11.932106059107577,13.492594216502344,2.6683258968898182,3.527825849223195
323,0.9398531786407668,1.5214839325711988,,
330,12.319228374155326,14.67480135152582,2.673378064133512,4.456161580252218
333,1.2404571296406426,2.068381036701201,,
338,12.350804419428387,13.84750896537157,,
339,12.510579208510087,13.497014862840572,3.05860581646515,3.6427626540172247
344,1.4084416904935144,1.712834766926162,3.332685889435529,4.16566196373963
345,2.641170497954965,4.423954014073648,,
350,1.1987767498801556,1.6320000910270356,,
351,11.428152376549493,13.592374519565222,3.0794460063453863,3.949681814071612
353,11.96936579252979,12.82886574486256,3.181752393030182,3.514563910208499
355,11.982559409572444,12.117704883341156,,
356,2.4832902715895395,3.183015434841105,3.279006612471284,3.479198739502644
