filenameNumber,labile,moleculeID,smiles,containsAromaticSystem,labileProtonType,solvent,solventShift,machineFrequency
116,1,dkmD@BXDR[f^eaZfjjP@,N1(C(C)(C)C)(C(=CC(=N1)C)C(=O)O),1,OH,DMSO,2.5,250.131544655141
119,1,dg~D`NePBLdTTTtrIL]uL`pD@@,C2(C1(=CC=C(C(O)=O)S1))(=NC=CC=C2),1,OH,DMSO,2.5,250.131544655141
124,1,difD@BADfyeaZfi@@,C=1(N(C=CC=1)C)(C(=O)O),1,OH,DMSO,2.5,250.131544655141
125,1,daE@@@{IHhbSULt@@,N1(C=CC=C1(CN))(C),1,NH2,CDCl3,7.26,250.131544655141
128,1,daEH@LXDeeVz`@@@,C=1(N=CC(CO)=NC=1),1,OH,CDCl3,7.26,250.131544655141
133,1,daEH@LXDeezZiZ`@,N1(C=NC(CO)=C1)(C),1,OH,CDCl3,7.26,250.131544655141
134,1,daG@@@idig\jVj`@,N1(C=NC(CN)=C1)(C),1,NH2,CDCl3,7.26,250.131544655141
138,1,difD@BADfyWaZ@@@@,C(C1(=NC=CC=C1))(=O)O,1,OH,DMSO,2.5,250.131544655141
144,1,dk^D@EADfyVux]Mh@@@@@,C(C1(=CC2(=CC=CN=C2(C=C1))))(=O)O,1,OH,DMSO,2.5,250.131544655141
146,1,dcnH@IAIYVu[ev`@@@@@,C1(=CN=C2(C=CC(=CC2(=C1))CO)),1,OH,CDCl3,7.26,250.131544655141
148,1,dk^D@IALbfbbTQF]Mh@@@@@,C=2(C(=O)O)(C1(=C(C=CC=C1)N=CC=2)),1,OH,DMSO,2.5,250.131544655141
153,1,dmNH`Ld@aJYetjEZA`b@@,S1(C=2(N=CC=CC=2(C=C1(CO)))),1,OH,CDCl3,7.26,250.131544655141
154,1,difD`LxPBLdTQTrjYf`@,S1(C(C)=NC(C(O)=O)=C1),1,OH,DMSO,2.5,250.131544655141
160,1,deu@`Jd@aJYW\kahDB`@@,C=1(C=2(SC=NC=2(C=CC=1(N)))),1,NH2,DMSO,2.5,250.131544655141
165,1,dk]D@BXDR[ee]ntvf``H@@,C12(=CC=CC=C2(N(N=C1(C(O)=O))C)),1,OH,DMSO,2.5,250.131544655141
170,1,dclL@@QTfyVwaWV`@iH@@,C(=O)(O)C=1(C=CC2(=C(C=1)C=CO2)),1,OH,DMSO,2.5,250.131544655141
174,1,dmNH@EAJYWwJxZA@j@@,C(N)C=1(C=CC2(=C(C=1)C=CO2)),1,NH2,CDCl3,7.26,250.131544655141
181,1,dmvD@FADfyevEijZ`@,N1(C(C)=CC(=C1(C))C(O)=O)(C),1,OH,DMSO,2.5,250.131544655141
184,1,dcmD`HQ]@HReUelHYiZeZ`@,C=1(C=2(C(C(=CC=1)C(O)=O)=NSN=2)),1,OH,DMSO,2.5,250.131544655141
196,1,dcmL@AtDUInUmzUuiiZZ@@,C2(=CC(C(O)=O)=CC1(=NON=C12)),1,OH,DMSO,2.5,250.131544655141
198,1,difL@NABR[efyjZd@@,O1(C(=C(C)N=C1)C(=O)O),1,OH,DMSO,2.5,250.131544655141
200,1,dg~L@BANrJZIPqIMqvuKP@P@@,O1(C(=C(N=C1)C(O)=O)C2(=CC=CC=C2)),1,OH,DMSO,2.5,250.131544655141
205,1,difL@BAFR[evyiih@@,O1(C(C)=CC(C(O)=O)=N1),1,OH,DMSO,2.5,250.131544655141
209,1,daFD@HCldRbNERuP@@,O1(C(C)=CC(CO)=N1),1,OH,CDCl3,7.26,250.131544655141
210,1,daEH@HxLdRbNERuP@@,O1(C(C)=CC(CN)=N1),1,NH2,CDCl3,7.26,250.131544655141
211,1,dg|D`IT@cIEEEMLbSG]SHLA@@@,S1(C(C(=O)O)=CC=C1C2(=CC=CC=C2)),1,OH,DMSO,2.5,250.131544655141
218,1,dig@@@`Tif_Jfji@@,N1(N=C(C(=C1(C))N)C)(C),1,NH2,CDCl3,7.26,250.131544655141
219,1,dclD`IT@aJYe[qav`dFH@@,C=1(SC=2(C=CC=CC=2(C=1)))(C(=O)O),1,OH,DMSO,2.5,250.131544655141
223,1,dmLH`E@HRfUWrnf`Pb`@@,S1(C=2(C=CC=CC=2(C(=C1)CO))),1,OH,CDCl3,7.26,250.131544655141
228,1,foAQ@@F\@eLk{JtYYuUUP@QBE@@,N1(CC(CN)OCC1)(CC2(=CC=CC=C2)),1,NH2,CDCl3,7.26,250.131544655141
229,1,deUD@BXDrJZJHlKTuR@@,N1(N=C(C)C=C1(C(=O)O))(C),1,OH,DMSO,2.5,250.131544655141
232,1,dieH@LhLbTTQkjfjP@,N1(N=C(C)C=C1(CO))(C),1,OH,CDCl3,7.26,250.131544655141
234,1,deUD@BXDR[eUnZZZ`@,N1(C(=CC(=N1)C(O)=O)C)(C),1,OH,DMSO,2.5,250.131544655141
238,1,dig@@@`\dTTQrijjP@,N1(C(=CC(=N1)CN)C)(C),1,NH2,CDCl3,7.26,250.131544655141
245,1,daDD`Fx@aJU{BiYh@@,S1(C=C(C=C1)C(O)=O),1,OH,DMSO,2.5,250.131544655141
247,1,dcmH`FGPBLdTRaTITLuJtsP@@,N2(C=C(C(C1(=CC=CS1))=N2)C=O),1,NH,CDCl3,7.26,250.131544655141
250,1,gOxHF@aJU|ZVh@,S1(C=C(C=C1)CN),1,NH2,CDCl3,7.26,250.131544655141
252,1,ffc`P@L@PFNQQJIQQQISITVoEsUjjB`A`BBCJ@@,N1(C(CC=2(C1=CC=CC=2))C(=O)O)(C(OCC3(=CC=CC=C3))=O),1,OH,CDCl3,7.26,250.131544655141
253,1,dg~L@MAAR[e[Uz]Mh@bjH@@,C=12(C(=CC(C(=O)O)=CC=1)OCCN2C),1,OH,DMSO,2.5,250.131544655141
257,1,dg}L`Lgcl@cIEDUDlieRmLtuMH@@,O2(N=C(C=C2(C=1(N=C(SC=1)C)))C(O)=O),1,OH,DMSO,2.5,250.131544655141
259,1,dg~L@KAER[e]exSmh@JZD@@,C1(=CN=CO1)(C2(=CC=C(C(=O)O)C=C2)),1,OH,DMSO,2.5,250.131544655141
