filenameNumber,labile,moleculeID,smiles,containsAromaticSystem,labileProtonType,solvent,solventShift,machineFrequency
261,1,dk\DPIT@c`aJYf{R[SjYejd@@,S2(C(=CC=C2(C=1(SC=CC=1)))C(=O)O),1,OH,DMSO,2.5,250.131544655141
262,1,dmuD@FDDrJZJJEaZejh@@,N1(C)(N=C(C)C(=C1(C))C(=O)O),1,OH,DMSO,2.5,250.131544655141
267,1,foAA`@@HYdTtTQTRSAV\tuL@D@@@,O1(C(=C(C=C1C2(=CC=CC=C2))C(O)=O)C),1,OH,DMSO,2.5,250.131544655141
269,1,foAP`@FB@cHihhdXdfBlyijX@H@@,N1(C(=C(C=N1)C(O)=O)C)(C=2(C=CC=CC=2)),1,OH,DMSO,2.5,250.131544655141
275,1,foAp`@BLxAFQSQJHqILyYsSSP@P@@,N1(N=C(C(C)=N1)C(O)=O)(C2(=CC=CC=C2)),1,OH,DMSO,2.5,250.131544655141
288,1,dk]@`Lt@aJYyU\iSidHH`@@,S2(C=C(N=C2(C1(=CC=CC=C1)))CN),1,NH2,CDCl3,7.26,250.131544655141
293,1,dk_@@@`|dTRaRrJiVZ`@i@@,C=2(C=C(CN)C=CC=2(N1(C=CC=N1))),1,NH2,CDCl3,7.26,250.131544655141
294,1,dco@@@c\dTRaRqUJsT@D`@@,C=2(C=C(N)C=CC=2(N1(C=CC=N1))),1,NH2,CDCl3,7.26,250.131544655141
296,1,dg@@@ptiWe]\JUZX@Jh@@,C=2(C=C(CNC)C=CC=2(N1(C=CN=C1))),1,NH,CDCl3,7.26,250.131544655141
297,1,dgD@IVpQInUvWaNv`@jT`@,C=2(C=C(C(O)=O)C=CC=2(N1(N=CN=C1))),1,OH,DMSO,2.5,250.131544655141
298,1,dcl`@@bmrQQJEKETkMP@R@@,C=2(C=C(N)C=CC=2(N1(N=CN=C1))),1,NH2,CDCl3,7.26,250.131544655141
300,1,foAp@@@J\eSJk{|UKUPTDUP@@,N2(C1(=CC=C(C=C1)CN))(CCN(CC2)C),1,NH2,CDCl3,7.26,250.131544655141
303,1,dg}H@LlDifUWquSh@@@`@@,N2(=C(OC1(=CC=CC=C1))C=CC(=C2)N),1,NH2,CDCl3,7.26,250.131544655141
309,1,daEH@LHDeejZfjP@,N1(C(CO)=NC=C1)(C),1,OH,CDCl3,7.26,250.131544655141
312,1,dk]D@BDDrJZJJIEatvijiV@@,C=1(N2(C(=NC=1C)C=CC=C2))(C(=O)O),1,OH,DMSO,2.5,250.131544655141
316,1,dcm@@@WIHhddXwSmPJDP@@,C=2(N1(C=CC=C1))(C=C(N)C=CC=2),1,NH2,CDCl3,7.26,250.131544655141
317,1,dknD`BePqLbbbatrIijZZh@@,N1(C(C)=C(C(C)=C1(C(OCC)=O))Br),1,NH,DMSO,2.5,250.131544655141
320,1,dieD@BDDR[fVEjZd@@,N1(C=NC=C1(C(=O)O))(C),1,OH,DMSO,2.5,250.131544655141
323,1,daG@@@sdiU|Iij`@,N1(C(CN)=CN=C1)(C),1,NH2,CDCl3,7.26,250.131544655141
330,1,dmvBaL[iT@cI{ldTRfLJjeZZ@@,C1(=CC(=CS1)C(O)=O)([N+]([O-])=O),1,OH,DMSO,2.5,250.131544655141
333,1,dg}H@JlDiWYeRkSjj@`h@@,C=2(C(N1(CCOCC1))=CC=CC=2)(CN),1,NH2,CDCl3,7.26,250.131544655141
338,1,foAQ`@F\@avQSQQIPiBeYsPDEUD@@,C=1(C(C(=O)O)=CC=CN=1)(N2(CCOCC2)),1,OH,DMSO,2.5,250.131544655141
339,1,dclD`Et@aJYWvrnF`PIh@@,C=1(C2(=C(C=C(C(O)=O)C=1)C=CS2)),1,OH,DMSO,2.5,250.131544655141
344,1,dcmH@JtLdTRaRqUJuJ@E@@@,C1(=CN=CO1)(C=2(C=CC(=CC=2)N)),1,NH2,CDCl3,7.26,250.131544655141
345,1,dev@`I@HRfUJxZA@h@@,C=1(C2(=C(C=C(N)C=1)C=CS2)),1,NH2,CDCl3,7.26,250.131544655141
350,1,dk]@@@OIHhdd\fzUjAPJ`@@,C=2(N1(C=CC=C1))(C=CC(CN)=CC=2),1,NH2,CDCl3,7.26,250.131544655141
351,1,dk\L@@QdfyUUx]Mjj`@Hr`@,C1(C(=O)O)(CC2(=CC=CC=C2(OC1))),1,OH,DMSO,2.5,250.131544655141
353,1,dcmD@FDDR[fUvE]ZZfV`@,C=2(C=NN1(C=CC=CC1=2))(C(O)=O),1,OH,DMSO,2.5,250.131544655141
355,1,deVL@BANR[eenZej`@,O1(C(C)=NC(=C1(C))C(O)=O),1,OH,TFA,11.3,250.131544655141
356,1,difD@L@\dTTNrjYj`@,O1(C(C)=NC(=C1(C))CO),1,OH,CDCl3,7.26,250.131544655141
357,1,fhi@`@@HR[e[ZZxKSf`@jjh`@@,C12(=C(C(C)(C)CCC1(C)C)C=CC(=C2)C(=O)O),1,OH,DMSO,2.5,250.131544655141
364,1,foAP`@FB@cHihhdhTfBlyijX@H@@,N1(C(=C(C=N1)C(O)=O)C2(=CC=CC=C2))(C),1,OH,DMSO,2.5,250.131544655141
366,1,dg~D@EADfyVu~GSZ@@@`@@,C1(=C(N=C2(C=CC(=CC2(=C1))C(O)=O))C),1,OH,DMSO,2.5,250.131544655141
375,1,foAQ@@JN@eJzrndihuUT@EP@@,N1(CCOCC1)(CC=2(C=CC(=CC=2)CN)),1,NH2,CDCl3,7.26,250.131544655141
382,1,dcmH@NTLdTTTRK]NtEPYDIP@,C1(=CC=C2(NCC(OC2(=C1))C#N)),1,NH,CDCl3,7.26,250.131544655141
